date,station,tobs
2016-11-06,USC00516128,77.0
2016-11-07,USC00517948,75.0
2016-11-07,USC00519523,76.0
2016-11-07,USC00519397,71.0
2016-11-07,USC00514830,72.0
2016-11-07,USC00513117,69.0
2016-11-07,USC00516128,71.0
2016-11-07,USC00519281,63.0
2016-11-08,USC00513117,71.0
2016-11-08,USC00519523,77.0
2016-11-08,USC00514830,73.0
2016-11-08,USC00519281,70.0
2016-11-08,USC00519397,71.0
2016-11-08,USC00516128,71.0
2016-11-09,USC00519281,68.0
2016-11-09,USC00513117,70.0
2016-11-09,USC00519523,75.0
2016-11-09,USC00514830,74.0
2016-11-09,USC00519397,71.0
2016-11-09,USC00516128,71.0
2016-11-09,USC00517948,76.0
2016-11-10,USC00516128,71.0
2016-11-10,USC00519523,72.0
2016-11-10,USC00519397,71.0
2016-11-10,USC00513117,69.0
2016-11-10,USC00519281,67.0
2016-11-10,USC00514830,75.0
2016-11-11,USC00519397,72.0
2016-11-11,USC00513117,71.0
2016-11-11,USC00516128,67.0
2016-11-11,USC00519523,73.0
2016-11-11,USC00519281,77.0
2016-11-11,USC00514830,77.0
2016-11-12,USC00519281,74.0
2016-11-12,USC00519397,71.0
2016-11-12,USC00514830,78.0
2016-11-12,USC00513117,68.0
2016-11-12,USC00519523,79.0
2016-11-12,USC00516128,73.0
2016-11-13,USC00519281,77.0
2016-11-13,USC00519523,79.0
2016-11-13,USC00516128,72.0
2016-11-13,USC00514830,78.0
2016-11-13,USC00519397,72.0
2016-11-13,USC00513117,72.0
2016-11-14,USC00519281,76.0
2016-11-14,USC00513117,76.0
2016-11-14,USC00519397,77.0
2016-11-14,USC00517948,79.0
2016-11-14,USC00514830,79.0
2016-11-14,USC00516128,74.0
2016-11-14,USC00519523,78.0
2016-11-15,USC00519397,77.0
2016-11-15,USC00516128,72.0
2016-11-15,USC00519523,77.0
2016-11-15,USC00519281,76.0
2016-11-15,USC00513117,78.0
2016-11-15,USC00517948,77.0
2016-11-15,USC00514830,77.0
2016-11-16,USC00513117,76.0
2016-11-16,USC00519281,75.0
2016-11-16,USC00519397,77.0
2016-11-16,USC00519523,77.0
2016-11-16,USC00516128,72.0
2016-11-16,USC00517948,77.0
2016-11-16,USC00514830,78.0
2016-11-17,USC00513117,75.0
2016-11-17,USC00517948,77.0
2016-11-17,USC00519523,77.0
2016-11-17,USC00516128,75.0
2016-11-17,USC00519397,77.0
2016-11-17,USC00514830,77.0
2016-11-17,USC00519281,76.0
2016-11-18,USC00519397,77.0
2016-11-18,USC00519523,77.0
2016-11-18,USC00519281,75.0
2016-11-18,USC00517948,75.0
2016-11-18,USC00513117,78.0
2016-11-19,USC00513117,73.0
2016-11-19,USC00519281,73.0
2016-11-19,USC00519397,75.0
2016-11-19,USC00519523,76.0
2016-11-20,USC00519523,80.0
2016-11-20,USC00519397,76.0
2016-11-20,USC00519281,75.0
2016-11-20,USC00513117,75.0
2016-11-20,USC00516128,74.0
2016-11-21,USC00517948,73.0
2016-11-21,USC00513117,75.0
2016-11-21,USC00519523,75.0
2016-11-21,USC00516128,71.0
2016-11-21,USC00519397,76.0
2016-11-21,USC00519281,73.0
2016-11-22,USC00514830,76.0
2016-11-22,USC00519397,75.0
2016-11-22,USC00517948,76.0
2016-11-22,USC00519281,75.0
2016-11-22,USC00513117,76.0
2016-11-22,USC00516128,73.0
2016-11-22,USC00519523,76.0
2016-11-23,USC00519523,75.0
2016-11-23,USC00519281,74.0
2016-11-23,USC00517948,77.0
2016-11-23,USC00513117,75.0
2016-11-23,USC00516128,69.0
2016-11-23,USC00519397,72.0
2016-11-24,USC00519281,75.0
2016-11-24,USC00516128,69.0
2016-11-24,USC00519523,75.0
2016-11-24,USC00519397,74.0
2016-11-24,USC00513117,75.0
2016-11-25,USC00514830,74.0
2016-11-25,USC00513117,76.0
2016-11-25,USC00519281,74.0
2016-11-25,USC00516128,69.0
2016-11-25,USC00519397,75.0
2016-11-25,USC00519523,76.0
2016-11-26,USC00519281,75.0
2016-11-26,USC00519397,73.0
2016-11-26,USC00513117,76.0
2016-11-26,USC00519523,78.0
2016-11-26,USC00516128,70.0
2016-11-26,USC00514830,78.0
2016-11-27,USC00513117,75.0
2016-11-27,USC00519397,76.0
2016-11-27,USC00516128,69.0
2016-11-27,USC00519281,73.0
2016-11-27,USC00514830,76.0
2016-11-27,USC00519523,78.0
2016-11-28,USC00519397,75.0
2016-11-28,USC00514830,76.0
2016-11-28,USC00519523,77.0
2016-11-28,USC00517948,76.0
2016-11-28,USC00516128,71.0
2016-11-28,USC00513117,75.0
2016-11-28,USC00519281,75.0
2016-11-29,USC00519281,73.0
2016-11-29,USC00519523,76.0
2016-11-29,USC00514830,75.0
2016-11-29,USC00513117,74.0
2016-11-29,USC00516128,67.0
2016-11-29,USC00517948,74.0
2016-11-29,USC00519397,68.0
2016-11-30,USC00519523,76.0
2016-11-30,USC00517948,75.0
2016-11-30,USC00519281,73.0
2016-11-30,USC00513117,74.0
2016-11-30,USC00519397,75.0
2016-11-30,USC00514830,76.0
2016-11-30,USC00516128,72.0
2016-12-01,USC00513117,73.0
2016-12-01,USC00519397,75.0
2016-12-01,USC00514830,75.0
2016-12-01,USC00516128,71.0
2016-12-01,USC00519523,76.0
2016-12-01,USC00517948,72.0
2016-12-01,USC00519281,74.0
2016-12-02,USC00519397,72.0
2016-12-02,USC00516128,71.0
2016-12-02,USC00519281,70.0
2016-12-02,USC00517948,70.0
2016-12-02,USC00514830,77.0
2016-12-02,USC00513117,71.0
2016-12-02,USC00519523,75.0
2016-12-03,USC00514830,75.0
2016-12-03,USC00516128,67.0
2016-12-03,USC00513117,71.0
2016-12-03,USC00519397,69.0
2016-12-03,USC00519281,72.0
2016-12-03,USC00519523,75.0
2016-12-04,USC00514830,77.0
2016-12-04,USC00519523,75.0
2016-12-04,USC00513117,69.0
2016-12-04,USC00519397,71.0
2016-12-04,USC00516128,76.0
2016-12-04,USC00519281,70.0
2016-12-05,USC00519523,70.0
2016-12-05,USC00519281,67.0
2016-12-05,USC00516128,67.0
2016-12-05,USC00519397,68.0
2016-12-05,USC00513117,68.0
2016-12-05,USC00517948,68.0
2016-12-05,USC00514830,76.0
2016-12-06,USC00516128,67.0
2016-12-06,USC00519523,70.0
2016-12-06,USC00519397,67.0
2016-12-06,USC00513117,70.0
2016-12-06,USC00517948,74.0
2016-12-06,USC00519281,67.0
2016-12-07,USC00519523,74.0
2016-12-07,USC00513117,71.0
2016-12-07,USC00516128,68.0
2016-12-07,USC00517948,71.0
2016-12-07,USC00519281,69.0
2016-12-07,USC00514830,76.0
2016-12-07,USC00519397,69.0
2016-12-08,USC00514830,75.0
2016-12-08,USC00519397,73.0
2016-12-08,USC00513117,72.0
2016-12-08,USC00517948,70.0
2016-12-08,USC00519281,70.0
2016-12-08,USC00519523,73.0
2016-12-08,USC00516128,71.0
2016-12-09,USC00516128,68.0
2016-12-09,USC00517948,70.0
2016-12-09,USC00513117,70.0
2016-12-09,USC00514830,72.0
2016-12-09,USC00519281,68.0
2016-12-09,USC00519397,70.0
2016-12-10,USC00516128,68.0
2016-12-10,USC00513117,71.0
2016-12-10,USC00519281,69.0
2016-12-10,USC00519523,72.0
2016-12-10,USC00519397,70.0
2016-12-10,USC00514830,76.0
2016-12-11,USC00519523,78.0
2016-12-11,USC00519281,69.0
2016-12-11,USC00519397,70.0
2016-12-11,USC00513117,72.0
2016-12-11,USC00516128,69.0
2016-12-12,USC00514830,75.0
2016-12-12,USC00519397,66.0
2016-12-12,USC00519281,66.0
2016-12-12,USC00513117,68.0
2016-12-12,USC00517948,70.0
2016-12-12,USC00519523,67.0
2016-12-12,USC00516128,65.0
2016-12-13,USC00513117,68.0
2016-12-13,USC00514830,72.0
2016-12-13,USC00519523,69.0
2016-12-13,USC00519397,67.0
2016-12-13,USC00517948,68.0
2016-12-13,USC00519281,65.0
2016-12-13,USC00516128,70.0
2016-12-14,USC00519523,71.0
2016-12-14,USC00519281,68.0
2016-12-14,USC00516128,69.0
2016-12-14,USC00514830,72.0
2016-12-14,USC00519397,70.0
2016-12-14,USC00513117,70.0
2016-12-14,USC00517948,68.0
2016-12-15,USC00513117,70.0
2016-12-15,USC00516128,64.0
2016-12-15,USC00519523,74.0
2016-12-15,USC00514830,75.0
2016-12-15,USC00519281,62.0
2016-12-15,USC00517948,68.0
2016-12-15,USC00519397,66.0
2016-12-16,USC00519523,63.0
2016-12-16,USC00514830,69.0
2016-12-16,USC00519397,62.0
2016-12-16,USC00513117,63.0
2016-12-16,USC00516128,60.0
2016-12-16,USC00517948,66.0
2016-12-16,USC00519281,75.0
2016-12-17,USC00514830,75.0
2016-12-17,USC00519281,70.0
2016-12-17,USC00519523,76.0
2016-12-17,USC00513117,71.0
2016-12-17,USC00519397,71.0
2016-12-18,USC00514830,74.0
2016-12-18,USC00516128,67.0
2016-12-18,USC00519523,76.0
2016-12-18,USC00519397,73.0
2016-12-18,USC00519281,69.0
2016-12-18,USC00513117,67.0
2016-12-19,USC00519523,71.0
2016-12-19,USC00516128,72.0
2016-12-19,USC00514830,78.0
2016-12-19,USC00517948,71.0
2016-12-19,USC00519281,76.0
2016-12-19,USC00513117,69.0
2016-12-19,USC00519397,69.0
2016-12-20,USC00517948,76.0
